module,last_version,old_name,old_url,evidence,target_module,target_name,target_url,jaccard,name_similarity,score,confirmed
icu,2026.0.1,MII_PR_ICU_VENT_Beatmung,https://www.medizininformatik-initiative.de/fhir/ext/modul-icu/StructureDefinition/mii-pr-icu-vent-beatmung,similar,lungenfunktion,MII_PR_Lungenfunktion_Spirometrie_Messung,https://www.medizininformatik-initiative.de/fhir/ext/modul-lungenfunktion/StructureDefinition/mii-pr-lungenfunktion-spirometrie-messung,0.308,0.462,0.369,
icu,2026.0.1,MII_PR_ICU_ECT_Parameter_Von_Extrakorporalen_Verfahren,https://www.medizininformatik-initiative.de/fhir/ext/modul-icu/StructureDefinition/mii-pr-icu-ect-parameter-von-extrakorporalen-verfahren,similar,onkologie,MII_PR_Onko_Anzahl_Befallene_Lymphknoten,https://www.medizininformatik-initiative.de/fhir/ext/modul-onko/StructureDefinition/mii-pr-onko-anzahl-befallene-lymphknoten,0.375,0.355,0.367,
icu,2025.0.4,SD_MII_ICU_Parameter_Von_Extrakorporalen_Verfahren,https://www.medizininformatik-initiative.de/fhir/ext/modul-icu/StructureDefinition/parameter-von-extrakorporalen-verfahren,similar,onkologie,MII_PR_Onko_Anzahl_Befallene_Lymphknoten,https://www.medizininformatik-initiative.de/fhir/ext/modul-onko/StructureDefinition/mii-pr-onko-anzahl-befallene-lymphknoten,0.375,0.355,0.367,
kardiologie,2026.0.0-alpha.3,MII_PR_Kardio_EKG_Annotation,https://www.medizininformatik-initiative.de/fhir/ext/modul-kardio/StructureDefinition/mii-pr-kardio-ekg-annotation,similar,seltene,MII_PR_Seltene_Gestationsalter,https://www.medizininformatik-initiative.de/fhir/ext/modul-seltene/StructureDefinition/mii-pr-seltene-gestationsalter,0.278,0.5,0.367,
mikrobiologie,0.0.2,MII_PR_Mikrobio_MRE_Klasse,https://www.medizininformatik-initiative.de/fhir/modul-mikrobio/StructureDefinition/mre-klasse,similar,icu,MII_PR_ICU_Score_RASS,https://www.medizininformatik-initiative.de/fhir/ext/modul-icu/StructureDefinition/mii-pr-icu-score-rass,0.241,0.556,0.367,
mikrobiologie,0.0.2,MII_PR_Mikrobio_Keimzahl,https://www.medizininformatik-initiative.de/fhir/modul-mikrobio/StructureDefinition/keimzahl,similar,laborbefund,MII_PR_Labor_Laboruntersuchung,https://www.medizininformatik-initiative.de/fhir/core/modul-labor/StructureDefinition/ObservationLab,0.5,0.16,0.364,
molgen,2025.0.0-alpha2,MII_PR_MolGen_ErgebnisZusammenfassung,https://www.medizininformatik-initiative.de/fhir/ext/modul-molgen/StructureDefinition/ergebnis-zusammenfassung,similar,onkologie,MII_PR_Onko_Mamma_Menopausenstatus,https://www.medizininformatik-initiative.de/fhir/ext/modul-onko/StructureDefinition/mii-pr-onko-mamma-menopause-status,0.333,0.409,0.364,
mikrobiologie,0.0.2,MII_PR_Mikrobio_MRGN_Klasse,https://www.medizininformatik-initiative.de/fhir/modul-mikrobio/StructureDefinition/mrgn-klasse,similar,laborbefund,MII_PR_Labor_Laboruntersuchung,https://www.medizininformatik-initiative.de/fhir/core/modul-labor/StructureDefinition/ObservationLab,0.451,0.222,0.36,
icu,2026.0.2,MII_PR_ICU_Druckdifferenz_Beatmung,https://www.medizininformatik-initiative.de/fhir/ext/modul-icu/StructureDefinition/mii-pr-icu-druckdifferenz-beatmung,similar,kardiologie,MII_PR_Kardio_Score_Modifizierte_Rankin_Skala,https://www.medizininformatik-initiative.de/fhir/ext/modul-kardio/StructureDefinition/mii-pr-kardio-score-modifizierte-rankin-skala,0.357,0.36,0.358,
mikrobiologie,2026.0.0-alpha.1,MII_PR_Mikrobio_Spezifische_Kultur,https://www.medizininformatik-initiative.de/fhir/modul-mikrobio/StructureDefinition/mii-pr-mikrobio-spezifische-kultur,similar,mtb,MII_PR_MTB_Immunohistochemistry,https://www.medizininformatik-initiative.de/fhir/ext/modul-mtb/StructureDefinition/mii-pr-mtb-immunohistochemistry,0.308,0.432,0.358,
icu,2025.0.4,SD_MII_ICU_Mittlerer_Beatmungsdruck,https://www.medizininformatik-initiative.de/fhir/ext/modul-icu/StructureDefinition/mittlerer-beatmungsdruck,similar,kardiologie,MII_PR_Kardio_Score_Modifizierte_Rankin_Skala,https://www.medizininformatik-initiative.de/fhir/ext/modul-kardio/StructureDefinition/mii-pr-kardio-score-modifizierte-rankin-skala,0.333,0.392,0.357,
diagnose,0.9.2,Diagnose,https://www.medizininformatik-initiative.de/fhir/core/StructureDefinition/Diagnose,similar,base,MII_PR_Diagnose_Condition,https://www.medizininformatik-initiative.de/fhir/core/modul-diagnose/StructureDefinition/Diagnose,0.354,0.353,0.354,
onkologie,2024.0.0-ballot-alpha-1,MII_PR_Onko_Diagnose,https://www.medizininformatik-initiative.de/fhir/ext/modul-onko/StructureDefinition/mii-pr-onko-diagnose,similar,kardiologie,MII_PR_Kardio_Diagnose,https://www.medizininformatik-initiative.de/fhir/ext/modul-kardio/StructureDefinition/mii-pr-kardio-diagnose,0.028,0.833,0.35,
