module,old_version,new_version,resource_type,old_name,new_name,score,jaccard,name_similarity,old_url,new_url,second_best,confirmed
icu,2025.0.4,2026.0.0,Observation,SD_MII_ICU_Positiv_Endexspiratorischer_Druck,MII_PR_ICU_VENT_Positiv_Endexspiratorischer_Druck,0.965,1.0,0.882,https://www.medizininformatik-initiative.de/fhir/ext/modul-icu/StructureDefinition/positiv-endexspiratorischer-druck,https://www.medizininformatik-initiative.de/fhir/ext/modul-icu/StructureDefinition/mii-pr-icu-vent-positiv-endexspiratorischer-druck,https://www.medizininformatik-initiative.de/fhir/ext/modul-icu/StructureDefinition/mii-pr-icu-positiv-endexpiratorischer-druck (0.88),
icu,2025.0.4,2026.0.0,Observation,SD_MII_ICU_Spontane_Atemfrequenz_Beatmet,MII_PR_ICU_VENT_Spontane_Atemfrequenz_Beatmet,0.961,1.0,0.871,https://www.medizininformatik-initiative.de/fhir/ext/modul-icu/StructureDefinition/spontane-atemfrequenz-beatmet,https://www.medizininformatik-initiative.de/fhir/ext/modul-icu/StructureDefinition/mii-pr-icu-vent-spontane-atemfrequenz-beatmet,https://www.medizininformatik-initiative.de/fhir/ext/modul-icu/StructureDefinition/mii-pr-icu-spontane-mechanische-atemfrequenz-beatmet (0.94),
icu,2025.0.4,2026.0.0,Observation,SD_MII_ICU_Spontane_Mechanische_Atemfrequenz_Beatmet,MII_PR_ICU_Spontane_Mechanische_Atemfrequenz_Beatmet,0.983,1.0,0.942,https://www.medizininformatik-initiative.de/fhir/ext/modul-icu/StructureDefinition/spontane-mechanische-atemfrequenz-beatmet,https://www.medizininformatik-initiative.de/fhir/ext/modul-icu/StructureDefinition/mii-pr-icu-spontane-mechanische-atemfrequenz-beatmet,https://www.medizininformatik-initiative.de/fhir/ext/modul-icu/StructureDefinition/mii-pr-icu-vent-spontane-mechanische-atemfrequenz-beatmet (0.97),
icu,2025.0.4,2026.0.0,Observation,SD_MII_ICU_Spontanes_Atemzugvolumen,MII_PR_ICU_VENT_Spontanes_Atemzugvolumen,0.956,1.0,0.853,https://www.medizininformatik-initiative.de/fhir/ext/modul-icu/StructureDefinition/spontanes-atemzugvolumen,https://www.medizininformatik-initiative.de/fhir/ext/modul-icu/StructureDefinition/mii-pr-icu-vent-spontanes-atemzugvolumen,https://www.medizininformatik-initiative.de/fhir/ext/modul-icu/StructureDefinition/mii-pr-icu-spontanes-atemzugvolumen (0.87),
icu,2025.0.4,2026.0.0,Observation,SD_MII_ICU_Spontanes_Mechanisches_Atemzugvolumen_Waehrend,MII_PR_ICU_VENT_Spontanes_Mechanisches_Atemzugvolumen_Waehrend,0.972,1.0,0.908,https://www.medizininformatik-initiative.de/fhir/ext/modul-icu/StructureDefinition/spontanes-mechanisches-atemzugvolumen-waehrend,https://www.medizininformatik-initiative.de/fhir/ext/modul-icu/StructureDefinition/mii-pr-icu-vent-spontanes-mechanisches-atemzugvolumen-waehrend,https://www.medizininformatik-initiative.de/fhir/ext/modul-icu/StructureDefinition/mii-pr-icu-spontanes-mechanisches-atemzugvolumen-waehrend-beatmung (0.83),
icu,2025.0.4,2026.0.0,Observation,SD_MII_ICU_Substituatfluss,MII_PR_ICU_ECT_Substituatfluss,0.946,1.0,0.821,https://www.medizininformatik-initiative.de/fhir/ext/modul-icu/StructureDefinition/substituatfluss,https://www.medizininformatik-initiative.de/fhir/ext/modul-icu/StructureDefinition/mii-pr-icu-ect-substituatfluss,https://www.medizininformatik-initiative.de/fhir/ext/modul-icu/StructureDefinition/mii-pr-icu-ect-substituatvolumen (0.91),
icu,2025.0.4,2026.0.0,Observation,SD_MII_ICU_Substituatvolumen,MII_PR_ICU_ECT_Substituatvolumen,0.95,1.0,0.833,https://www.medizininformatik-initiative.de/fhir/ext/modul-icu/StructureDefinition/substituatvolumen,https://www.medizininformatik-initiative.de/fhir/ext/modul-icu/StructureDefinition/mii-pr-icu-ect-substituatvolumen,https://www.medizininformatik-initiative.de/fhir/ext/modul-icu/StructureDefinition/mii-pr-icu-ect-substituatfluss (0.91),
icu,2025.0.4,2026.0.0,Observation,SD_MII_ICU_Unterstuezungsdruck_Beatmung,MII_PR_ICU_VENT_Unterstuezungsdruck_Beatmung,0.96,1.0,0.867,https://www.medizininformatik-initiative.de/fhir/ext/modul-icu/StructureDefinition/unterstuetzungsdruck-beatmung,https://www.medizininformatik-initiative.de/fhir/ext/modul-icu/StructureDefinition/mii-pr-icu-vent-unterstuetzungsdruck-beatmung,https://www.medizininformatik-initiative.de/fhir/ext/modul-icu/StructureDefinition/mii-pr-icu-unterstuetzungsdruck-beatmung (0.86),
icu,2025.0.4,2026.0.0,Observation,SD_MII_ICU_Venoeser_Druck,MII_PR_ICU_ECT_Venoeser_Druck,0.944,1.0,0.815,https://www.medizininformatik-initiative.de/fhir/ext/modul-icu/StructureDefinition/venoeser-druck,https://www.medizininformatik-initiative.de/fhir/ext/modul-icu/StructureDefinition/mii-pr-icu-ect-venoeser-druck,https://www.medizininformatik-initiative.de/fhir/ext/modul-icu/StructureDefinition/mii-pr-icu-venoeser-druck (0.82),
icu,2025.0.4,2026.0.0,Observation,SD_MII_ICU_Zeitverhaeltnis_Ein_Ausatmung,MII_PR_ICU_VENT_Zeitverhaeltnis_Ein_Ausatmung,0.961,1.0,0.871,https://www.medizininformatik-initiative.de/fhir/ext/modul-icu/StructureDefinition/zeitverhaeltnis-ein-ausatmung,https://www.medizininformatik-initiative.de/fhir/ext/modul-icu/StructureDefinition/mii-pr-icu-vent-zeitverhaeltnis-ein-ausatmung,https://www.medizininformatik-initiative.de/fhir/ext/modul-icu/StructureDefinition/mii-pr-icu-zeitverhaeltnis-ein-ausatmung (0.88),
