name,klasse,isik_url,mii_letzte_version,mii_url,struktur_jaccard
SD_MII_ICU_Herzzeitvolumen,nach-isik-uebergegangen,https://gematik.de/fhir/isik/StructureDefinition/sd-mii-icu-herzzeitvolumen,1.0.0,https://www.medizininformatik-initiative.de/fhir/ext/modul-icu/StructureDefinition/herzzeitvolumen,0.5
SD_MII_ICU_Ideales_Koerpergewicht,nach-isik-uebergegangen,https://gematik.de/fhir/isik/StructureDefinition/sd-mii-icu-ideales-koerpergewicht,1.0.0,https://www.medizininformatik-initiative.de/fhir/ext/modul-icu/StructureDefinition/ideales-koerpergewicht,0.286
SD_MII_ICU_Intrakranieller_Druck_Icp,nach-isik-uebergegangen,https://gematik.de/fhir/isik/StructureDefinition/sd-mii-icu-intrakranieller-druck-icp,1.0.0,https://www.medizininformatik-initiative.de/fhir/ext/modul-icu/StructureDefinition/intrakranieller-druck-icp,0.375
SD_MII_ICU_Koerpergewicht_Percentil_Altersabhaengig,nach-isik-uebergegangen,https://gematik.de/fhir/isik/StructureDefinition/sd-mii-icu-koerpergewicht-percentil-altersabhaengig,1.0.0,https://www.medizininformatik-initiative.de/fhir/ext/modul-icu/StructureDefinition/koerpergewicht-percentil-altersabhaengig,0.636
SD_MII_ICU_Koerpergroesse_Percentil_Altersabhaengig,nur-isik,https://gematik.de/fhir/isik/StructureDefinition/sd-mii-icu-koerpergroesse-percentil-altersabhaengig,,,
SD_MII_ICU_Koerperkerntemperatur_Stirn,nur-isik,https://gematik.de/fhir/isik/StructureDefinition/sd-mii-icu-koerperkerntemperatur-stirn,,,
SD_MII_ICU_Koerpertemperatur_Achsel,nach-isik-uebergegangen,https://gematik.de/fhir/isik/StructureDefinition/sd-mii-icu-koerpertemperatur-achsel,1.0.0,https://www.medizininformatik-initiative.de/fhir/ext/modul-icu/StructureDefinition/koerpertemperatur-achsel,0.111
SD_MII_ICU_Koerpertemperatur_Atemwege,nach-isik-uebergegangen,https://gematik.de/fhir/isik/StructureDefinition/sd-mii-icu-koerpertemperatur-atemwege,1.0.0,https://www.medizininformatik-initiative.de/fhir/ext/modul-icu/StructureDefinition/koerpertemperatur-atemwege,0.143
SD_MII_ICU_Koerpertemperatur_Blut,nach-isik-uebergegangen,https://gematik.de/fhir/isik/StructureDefinition/sd-mii-icu-koerpertemperatur-blut,1.0.0,https://www.medizininformatik-initiative.de/fhir/ext/modul-icu/StructureDefinition/koerpertemperatur-blut,0.0
SD_MII_ICU_Koerpertemperatur_Brust,nach-isik-uebergegangen,https://gematik.de/fhir/isik/StructureDefinition/sd-mii-icu-koerpertemperatur-brust,1.0.0,https://www.medizininformatik-initiative.de/fhir/ext/modul-icu/StructureDefinition/koerpertemperatur-brust,0.333
SD_MII_ICU_Koerpertemperatur_Brustwirbelsaeule,nach-isik-uebergegangen,https://gematik.de/fhir/isik/StructureDefinition/sd-mii-icu-koerpertemperatur-brustwirbelsaeule,1.0.0,https://www.medizininformatik-initiative.de/fhir/ext/modul-icu/StructureDefinition/koerpertemperatur-brustwirbelsaeule,0.333
SD_MII_ICU_Koerpertemperatur_Gelenk,nach-isik-uebergegangen,https://gematik.de/fhir/isik/StructureDefinition/sd-mii-icu-koerpertemperatur-gelenk,1.0.0,https://www.medizininformatik-initiative.de/fhir/ext/modul-icu/StructureDefinition/koerpertemperatur-gelenk,0.333
SD_MII_ICU_Koerpertemperatur_Generisch,nach-isik-uebergegangen,https://gematik.de/fhir/isik/StructureDefinition/sd-mii-icu-koerpertemperatur-generisch,1.0.0,https://www.medizininformatik-initiative.de/fhir/ext/modul-icu/StructureDefinition/koerpertemperatur-generisch,0.0
SD_MII_ICU_Koerpertemperatur_Halswirbelsaeule,nach-isik-uebergegangen,https://gematik.de/fhir/isik/StructureDefinition/sd-mii-icu-koerpertemperatur-halswirbelsaeule,1.0.0,https://www.medizininformatik-initiative.de/fhir/ext/modul-icu/StructureDefinition/koerpertemperatur-halswirbelsaeule,0.333
SD_MII_ICU_Koerpertemperatur_Harnblase,nach-isik-uebergegangen,https://gematik.de/fhir/isik/StructureDefinition/sd-mii-icu-koerpertemperatur-harnblase,1.0.0,https://www.medizininformatik-initiative.de/fhir/ext/modul-icu/StructureDefinition/koerpertemperatur-harnblase,0.125
SD_MII_ICU_Koerpertemperatur_Kern,nach-isik-uebergegangen,https://gematik.de/fhir/isik/StructureDefinition/sd-mii-icu-koerpertemperatur-kern,1.0.0,https://www.medizininformatik-initiative.de/fhir/ext/modul-icu/StructureDefinition/koerpertemperatur-kern,0.083
SD_MII_ICU_Koerpertemperatur_Leiste,nach-isik-uebergegangen,https://gematik.de/fhir/isik/StructureDefinition/sd-mii-icu-koerpertemperatur-leiste,1.0.0,https://www.medizininformatik-initiative.de/fhir/ext/modul-icu/StructureDefinition/koerpertemperatur-leiste,0.143
SD_MII_ICU_Koerpertemperatur_Lendenwirbelsaeule,nach-isik-uebergegangen,https://gematik.de/fhir/isik/StructureDefinition/sd-mii-icu-koerpertemperatur-lendenwirbelsaeule,1.0.0,https://www.medizininformatik-initiative.de/fhir/ext/modul-icu/StructureDefinition/koerpertemperatur-lendenwirbelsaeule,0.333
SD_MII_ICU_Koerpertemperatur_Myokard,nach-isik-uebergegangen,https://gematik.de/fhir/isik/StructureDefinition/sd-mii-icu-koerpertemperatur-myokard,1.0.0,https://www.medizininformatik-initiative.de/fhir/ext/modul-icu/StructureDefinition/koerpertemperatur-myokard,0.286
SD_MII_ICU_Koerpertemperatur_Nasal,nach-isik-uebergegangen,https://gematik.de/fhir/isik/StructureDefinition/sd-mii-icu-koerpertemperatur-nasal,1.0.0,https://www.medizininformatik-initiative.de/fhir/ext/modul-icu/StructureDefinition/koerpertemperatur-nasal,0.286
SD_MII_ICU_Koerpertemperatur_Nasen_Rachen_Raum,nach-isik-uebergegangen,https://gematik.de/fhir/isik/StructureDefinition/sd-mii-icu-koerpertemperatur-nasen-rachen-raum,1.0.0,https://www.medizininformatik-initiative.de/fhir/ext/modul-icu/StructureDefinition/koerpertemperatur-nasen-rachen-raum,0.333
SD_MII_ICU_Koerpertemperatur_Oral,nur-isik,https://gematik.de/fhir/isik/StructureDefinition/sd-mii-icu-koerpertemperatur-unter-der-zunge,,,
SD_MII_ICU_Koerpertemperatur_Rektal,nach-isik-uebergegangen,https://gematik.de/fhir/isik/StructureDefinition/sd-mii-icu-koerpertemperatur-rektal,1.0.0,https://www.medizininformatik-initiative.de/fhir/ext/modul-icu/StructureDefinition/koerpertemperatur-rektal,0.111
SD_MII_ICU_Koerpertemperatur_Speiseroehre,nach-isik-uebergegangen,https://gematik.de/fhir/isik/StructureDefinition/sd-mii-icu-koerpertemperatur-speiseroehre,1.0.0,https://www.medizininformatik-initiative.de/fhir/ext/modul-icu/StructureDefinition/koerpertemperatur-speiseroehre,0.125
SD_MII_ICU_Koerpertemperatur_Stirn,nach-isik-uebergegangen,https://gematik.de/fhir/isik/StructureDefinition/sd-mii-icu-koerpertemperatur-stirn,1.0.0,https://www.medizininformatik-initiative.de/fhir/ext/modul-icu/StructureDefinition/koerpertemperatur-stirn,0.333
SD_MII_ICU_Koerpertemperatur_Trommelfell,nach-isik-uebergegangen,https://gematik.de/fhir/isik/StructureDefinition/sd-mii-icu-koerpertemperatur-trommelfell,1.0.0,https://www.medizininformatik-initiative.de/fhir/ext/modul-icu/StructureDefinition/koerpertemperatur-trommelfell,0.125
SD_MII_ICU_Koerpertemperatur_Vaginal,nach-isik-uebergegangen,https://gematik.de/fhir/isik/StructureDefinition/sd-mii-icu-koerpertemperatur-vaginal,1.0.0,https://www.medizininformatik-initiative.de/fhir/ext/modul-icu/StructureDefinition/koerpertemperatur-vaginal,0.143
SD_MII_ICU_Linksatrialer_Druck,nach-isik-uebergegangen,https://gematik.de/fhir/isik/StructureDefinition/sd-mii-icu-linksatrialer-druck,1.0.0,https://www.medizininformatik-initiative.de/fhir/ext/modul-icu/StructureDefinition/linksatrialer-druck,0.667
SD_MII_ICU_Linksventrikulaerer_Druck,nach-isik-uebergegangen,https://gematik.de/fhir/isik/StructureDefinition/sd-mii-icu-linksventrikulaerer-druck,1.0.0,https://www.medizininformatik-initiative.de/fhir/ext/modul-icu/StructureDefinition/linksventrikulaerer-druck,0.643
SD_MII_ICU_Linksventrikulaerer_Herzindex,nach-isik-uebergegangen,https://gematik.de/fhir/isik/StructureDefinition/sd-mii-icu-linksventrikulaerer-herzindex,1.0.0,https://www.medizininformatik-initiative.de/fhir/ext/modul-icu/StructureDefinition/linksventrikulaerer-herzindex,0.444
SD_MII_ICU_Linksventrikulaerer_Herzindex_Durch_Indikatorverduennung,nach-isik-uebergegangen,https://gematik.de/fhir/isik/StructureDefinition/sd-mii-icu-linksventri-herzindex-durch-indikatorverduennung,1.0.0,https://www.medizininformatik-initiative.de/fhir/ext/modul-icu/StructureDefinition/linksventrikulaerer-herzindex-durch-indikatorverduennung,0.286
SD_MII_ICU_Linksventrikulaerer_Schlagvolumenindex_Durch_Indikatorverduennung,nach-isik-uebergegangen,https://gematik.de/fhir/isik/StructureDefinition/sd-mii-icu-linksventri-schlagvolumenindex-durch-indikatorverd,1.0.0,https://www.medizininformatik-initiative.de/fhir/ext/modul-icu/StructureDefinition/linksventrikulaerer-schlagvolumenindex-durch-indikatorverduennung,0.286
SD_MII_ICU_Linksventrikulaeres_Herzzeitvolumen_Durch_Indikatorverduennung,nach-isik-uebergegangen,https://gematik.de/fhir/isik/StructureDefinition/sd-mii-icu-linksventri-herzzeitvolumen-durch-indikatorverd,1.0.0,https://www.medizininformatik-initiative.de/fhir/ext/modul-icu/StructureDefinition/linksventrikulaeres-herzzeitvolumen-durch-indikatorverduennung,0.286
SD_MII_ICU_Linksventrikulaeres_Schlagvolumen,nach-isik-uebergegangen,https://gematik.de/fhir/isik/StructureDefinition/sd-mii-icu-linksventrikulaeres-schlagvolumen,1.0.0,https://www.medizininformatik-initiative.de/fhir/ext/modul-icu/StructureDefinition/linksventrikulaeres-schlagvolumen,0.375
SD_MII_ICU_Linksventrikulaeres_Schlagvolumen_Durch_Indikatorverduennung,nach-isik-uebergegangen,https://gematik.de/fhir/isik/StructureDefinition/sd-mii-icu-linksventri-schlagvolumen-durch-indikatorverduennung,1.0.0,https://www.medizininformatik-initiative.de/fhir/ext/modul-icu/StructureDefinition/linksventrikulaeres-schlagvolumen-durch-indikatorverduennung,0.333
SD_MII_ICU_Linksventrikulaeres_Schlagvolumenindex,nach-isik-uebergegangen,https://gematik.de/fhir/isik/StructureDefinition/sd-mii-icu-linksventrikulaeres-schlagvolumenindex,1.0.0,https://www.medizininformatik-initiative.de/fhir/ext/modul-icu/StructureDefinition/linksventrikulaeres-schlagvolumenindex,0.333
SD_MII_ICU_Monitoring_Und_Vitaldaten,nach-isik-uebergegangen,https://gematik.de/fhir/isik/StructureDefinition/sd-mii-icu-monitoring-und-vitaldaten,1.0.0,https://www.medizininformatik-initiative.de/fhir/ext/modul-icu/StructureDefinition/monitoring-und-vitaldaten,0.784
SD_MII_ICU_Pulmonalarterieller_Blutdruck,nach-isik-uebergegangen,https://gematik.de/fhir/isik/StructureDefinition/sd-mii-icu-pulmonalarterieller-blutdruck,1.0.0,https://www.medizininformatik-initiative.de/fhir/ext/modul-icu/StructureDefinition/pulmonalarterieller-blutdruck,0.474
SD_MII_ICU_Pulmonalarterieller_Wedge_Druck,nach-isik-uebergegangen,https://gematik.de/fhir/isik/StructureDefinition/sd-mii-icu-pulmonalarterieller-wedge-druck,1.0.0,https://www.medizininformatik-initiative.de/fhir/ext/modul-icu/StructureDefinition/pulmonalarterieller-wedge-druck,0.5
SD_MII_ICU_Pulmonalvaskulaerer_Widerstandsindex,nach-isik-uebergegangen,https://gematik.de/fhir/isik/StructureDefinition/sd-mii-icu-pulmonalvaskulaerer-widerstandsindex,1.0.0,https://www.medizininformatik-initiative.de/fhir/ext/modul-icu/StructureDefinition/pulmonalvaskulaerer-widerstandsindex,0.5
SD_MII_ICU_Puls,nach-isik-uebergegangen,https://gematik.de/fhir/isik/StructureDefinition/sd-mii-icu-puls,1.0.0,https://www.medizininformatik-initiative.de/fhir/ext/modul-icu/StructureDefinition/puls,0.636
SD_MII_ICU_Rechtsatrialer_Druck,nach-isik-uebergegangen,https://gematik.de/fhir/isik/StructureDefinition/sd-mii-icu-rechtsatrialer-druck,1.0.0,https://www.medizininformatik-initiative.de/fhir/ext/modul-icu/StructureDefinition/rechtsatrialer-druck,0.625
SD_MII_ICU_Rechtsventrikulaerer_Druck,nach-isik-uebergegangen,https://gematik.de/fhir/isik/StructureDefinition/sd-mii-icu-rechtsventrikulaerer-druck,1.0.0,https://www.medizininformatik-initiative.de/fhir/ext/modul-icu/StructureDefinition/rechtsventrikulaerer-druck,0.562
SD_MII_ICU_Sauerstoffsaettigung_Im_Arteriellen_Blut_Durch_Pulsoxymetrie,nach-isik-uebergegangen,https://gematik.de/fhir/isik/StructureDefinition/sd-mii-icu-o2saettigung-im-arteriellen-blut-durch-pulsoxymetrie,1.0.0,https://www.medizininformatik-initiative.de/fhir/ext/modul-icu/StructureDefinition/sauerstoffsaettigung-im-arteriellen-blut-durch-pulsoxymetrie,0.786
SD_MII_ICU_Sauerstoffsaettigung_Im_Blut_Postduktal_Durch_Pulsoxymetrie,nach-isik-uebergegangen,https://gematik.de/fhir/isik/StructureDefinition/sd-mii-icu-o2saettigung-im-blut-postduktal-durch-pulsoxymetrie,1.0.0,https://www.medizininformatik-initiative.de/fhir/ext/modul-icu/StructureDefinition/sauerstoffsaettigung-im-blut-postduktal-durch-pulsoxymetrie,0.3
SD_MII_ICU_Sauerstoffsaettigung_Im_Blut_Preduktal_Durch_Pulsoxymetrie,nach-isik-uebergegangen,https://gematik.de/fhir/isik/StructureDefinition/sd-mii-icu-o2saettigung-im-blut-preduktal-durch-pulsoxymetrie,1.0.0,https://www.medizininformatik-initiative.de/fhir/ext/modul-icu/StructureDefinition/sauerstoffsaettigung-im-blut-preduktal-durch-pulsoxymetrie,0.3
SD_MII_ICU_Sonstige_Pulsatile_Druecke_Generisch,nur-isik,https://gematik.de/fhir/isik/StructureDefinition/sd-mii-icu-sonstige-pulsatile-druecke-generisch,,,
SD_MII_ICU_Systemischer_Vaskulaerer_Widerstandsindex,nach-isik-uebergegangen,https://gematik.de/fhir/isik/StructureDefinition/sd-mii-icu-systemischer-vaskulaerer-widerstandsindex,1.0.0,https://www.medizininformatik-initiative.de/fhir/ext/modul-icu/StructureDefinition/systemischer-vaskulaerer-widerstandsindex,0.364
SD_MII_ICU_Zentralvenoeser_Blutdruck,nach-isik-uebergegangen,https://gematik.de/fhir/isik/StructureDefinition/sd-mii-icu-zentralvenoeser-blutdruck,1.0.0,https://www.medizininformatik-initiative.de/fhir/ext/modul-icu/StructureDefinition/zentralvenoeser-blutdruck,0.375
