module,old_version,new_version,resource_type,old_name,new_name,score,jaccard,name_similarity,old_url,new_url,second_best,confirmed
icu,2026.0.1,2026.0.2,Observation,MII_PR_ICU_VENT_Atemwegsdruck_Bei_Null_Exspiratorischem_Gasfluss,MII_PR_ICU_Bilanz_Ausfuhr_Blutverlust,0.322,0.273,0.436,https://www.medizininformatik-initiative.de/fhir/ext/modul-icu/StructureDefinition/mii-pr-icu-vent-atemwegsdruck-bei-null-exspiratorischem-gasfluss,https://www.medizininformatik-initiative.de/fhir/ext/modul-icu/StructureDefinition/mii-pr-icu-bilanz-ausfuhr-blutverlust,https://www.medizininformatik-initiative.de/fhir/ext/modul-icu/StructureDefinition/mii-pr-icu-bilanz-ausfuhr-haemofiltration-einzelmesswerte (0.32),
icu,2026.0.1,2026.0.2,Observation,MII_PR_ICU_VENT_Atemzugvolumen_Einstellung,MII_PR_ICU_Bilanz_Ausfuhr_Haemofiltration_Einzelmesswerte,0.385,0.333,0.505,https://www.medizininformatik-initiative.de/fhir/ext/modul-icu/StructureDefinition/mii-pr-icu-vent-atemzugvolumen-einstellung,https://www.medizininformatik-initiative.de/fhir/ext/modul-icu/StructureDefinition/mii-pr-icu-bilanz-ausfuhr-haemofiltration-einzelmesswerte,https://www.medizininformatik-initiative.de/fhir/ext/modul-icu/StructureDefinition/mii-pr-icu-bilanz-ausfuhr-blutverlust (0.38),
icu,2026.0.1,2026.0.2,Observation,MII_PR_ICU_VENT_Atemzugvolumen_Waehrend_Beatmung,MII_PR_ICU_Bilanz_Ausfuhr_Blutverlust,0.389,0.364,0.447,https://www.medizininformatik-initiative.de/fhir/ext/modul-icu/StructureDefinition/mii-pr-icu-vent-atemzugvolumen-waehrend-beatmung,https://www.medizininformatik-initiative.de/fhir/ext/modul-icu/StructureDefinition/mii-pr-icu-bilanz-ausfuhr-blutverlust,https://www.medizininformatik-initiative.de/fhir/ext/modul-icu/StructureDefinition/mii-pr-icu-bilanz-ausfuhr-op-drainage (0.38),
icu,2026.0.1,2026.0.2,Procedure,MII_PR_ICU_VENT_Beatmung,,,,,https://www.medizininformatik-initiative.de/fhir/ext/modul-icu/StructureDefinition/mii-pr-icu-vent-beatmung,,,
icu,2026.0.1,2026.0.2,Observation,MII_PR_ICU_VENT_Beatmungsvolumen_Pro_Minute_Maschineller,MII_PR_ICU_Bilanz_Ausfuhr_Haemofiltration_Einzelmesswerte,0.371,0.364,0.389,https://www.medizininformatik-initiative.de/fhir/ext/modul-icu/StructureDefinition/mii-pr-icu-vent-beatmungsvolumen-pro-minute-maschineller,https://www.medizininformatik-initiative.de/fhir/ext/modul-icu/StructureDefinition/mii-pr-icu-bilanz-ausfuhr-haemofiltration-einzelmesswerte,https://www.medizininformatik-initiative.de/fhir/ext/modul-icu/StructureDefinition/mii-pr-icu-bilanz-ausfuhr-blutverlust (0.37),
icu,2026.0.1,2026.0.2,Observation,MII_PR_ICU_VENT_Beatmungszeit_Hohem_Druck,MII_PR_ICU_Bilanz_Ausfuhr_OP_Drainage,0.393,0.364,0.462,https://www.medizininformatik-initiative.de/fhir/ext/modul-icu/StructureDefinition/mii-pr-icu-vent-beatmungszeit-hohem-druck,https://www.medizininformatik-initiative.de/fhir/ext/modul-icu/StructureDefinition/mii-pr-icu-bilanz-ausfuhr-op-drainage,https://www.medizininformatik-initiative.de/fhir/ext/modul-icu/StructureDefinition/mii-pr-icu-bilanz-tagesbilanz-fluessigkeit (0.38),
icu,2026.0.1,2026.0.2,Observation,MII_PR_ICU_VENT_Beatmungszeit_Niedrigem_Druck,MII_PR_ICU_Bilanz_Ausfuhr_OP_Drainage,0.386,0.364,0.439,https://www.medizininformatik-initiative.de/fhir/ext/modul-icu/StructureDefinition/mii-pr-icu-vent-beatmungszeit-niedrigem-druck,https://www.medizininformatik-initiative.de/fhir/ext/modul-icu/StructureDefinition/mii-pr-icu-bilanz-ausfuhr-op-drainage,https://www.medizininformatik-initiative.de/fhir/ext/modul-icu/StructureDefinition/mii-pr-icu-bilanz-tagesbilanz-fluessigkeit (0.38),
icu,2026.0.1,2026.0.2,DeviceMetric,MII_PR_ICU_VENT_Devicemetric_Eingestellte_Gemessene_Parameter_Beatmung,,,,,https://www.medizininformatik-initiative.de/fhir/ext/modul-icu/StructureDefinition/mii-pr-icu-vent-devicemetric-eingestellte-gemessene-parameter-beatmung,,,
icu,2026.0.1,2026.0.2,Observation,MII_PR_ICU_VENT_Druckdifferenz_Beatmung,MII_PR_ICU_Bilanz_Ausfuhr_Blutverlust,0.397,0.364,0.474,https://www.medizininformatik-initiative.de/fhir/ext/modul-icu/StructureDefinition/mii-pr-icu-vent-druckdifferenz-beatmung,https://www.medizininformatik-initiative.de/fhir/ext/modul-icu/StructureDefinition/mii-pr-icu-bilanz-ausfuhr-blutverlust,https://www.medizininformatik-initiative.de/fhir/ext/modul-icu/StructureDefinition/mii-pr-icu-bilanz-tagesbilanz-fluessigkeit (0.39),
icu,2026.0.1,2026.0.2,Observation,MII_PR_ICU_VENT_Dynamische_Kompliance,MII_PR_ICU_Bilanz_Ausfuhr_Blutverlust,0.384,0.364,0.432,https://www.medizininformatik-initiative.de/fhir/ext/modul-icu/StructureDefinition/mii-pr-icu-vent-dynamische-kompliance,https://www.medizininformatik-initiative.de/fhir/ext/modul-icu/StructureDefinition/mii-pr-icu-bilanz-ausfuhr-blutverlust,https://www.medizininformatik-initiative.de/fhir/ext/modul-icu/StructureDefinition/mii-pr-icu-bilanz-ausfuhr-op-drainage (0.38),
